Start Date,End Date,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths,latitude,longitude
01/01/2020,04/02/2022,Alabama,Male,All Ages,10273.0,76233.0,7121.0,114.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,Under 1 year,0.0,518.0,0.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,0-17 years,0.0,997.0,11.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,18-29 years,71.0,2014.0,49.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,30-39 years,218.0,2673.0,141.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,40-49 years,548.0,4248.0,334.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,50-64 years,2377.0,16744.0,1486.0,42.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,65-74 years,2826.0,18857.0,2009.0,27.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,75-84 years,2705.0,18459.0,1942.0,18.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,85 years and over,1522.0,12241.0,1149.0,12.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,All Ages,8819.0,69608.0,5981.0,82.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,Under 1 year,0.0,376.0,0.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,0-17 years,0.0,608.0,12.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,18-29 years,55.0,776.0,41.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,30-39 years,160.0,1458.0,107.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,40-49 years,453.0,2730.0,242.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,50-64 years,1819.0,11214.0,1197.0,25.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,65-74 years,2091.0,14071.0,1423.0,17.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,75-84 years,2199.0,17941.0,1594.0,20.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,85 years and over,2036.0,20810.0,1365.0,11.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alaska,Male,All Ages,729.0,6958.0,633.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,Under 1 year,0.0,63.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,0-17 years,0.0,132.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,18-29 years,11.0,314.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,30-39 years,26.0,427.0,30.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,40-49 years,43.0,436.0,38.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,50-64 years,206.0,1660.0,164.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,65-74 years,197.0,1626.0,166.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,75-84 years,161.0,1457.0,151.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,85 years and over,83.0,906.0,75.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,All Ages,488.0,5023.0,435.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,Under 1 year,0.0,49.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,0-17 years,0.0,83.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,18-29 years,0.0,151.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,30-39 years,15.0,253.0,12.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,40-49 years,38.0,293.0,32.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,50-64 years,81.0,880.0,70.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,65-74 years,126.0,1086.0,117.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,75-84 years,118.0,1071.0,106.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,85 years and over,100.0,1206.0,86.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Arizona,Male,All Ages,15946.0,98941.0,14096.0,95.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,Under 1 year,0.0,510.0,0.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,0-17 years,20.0,1111.0,24.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,18-29 years,156.0,3226.0,123.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,30-39 years,434.0,4107.0,320.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,40-49 years,896.0,5202.0,686.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,50-64 years,3462.0,18246.0,2895.0,24.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,65-74 years,3984.0,22072.0,3585.0,24.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,75-84 years,4339.0,25061.0,3948.0,15.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,85 years and over,2655.0,19916.0,2515.0,16.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,All Ages,11056.0,79877.0,9921.0,89.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,Under 1 year,0.0,417.0,0.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,0-17 years,13.0,769.0,28.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,18-29 years,100.0,1096.0,77.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,30-39 years,267.0,1826.0,214.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,40-49 years,511.0,2765.0,424.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,50-64 years,2054.0,11163.0,1854.0,22.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,65-74 years,2653.0,15380.0,2430.0,21.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,75-84 years,2894.0,20810.0,2638.0,22.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,85 years and over,2564.0,26068.0,2256.0,12.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arkansas,Male,All Ages,5920.0,46057.0,5482.0,62.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,Under 1 year,0.0,328.0,0.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,0-17 years,0.0,599.0,0.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,18-29 years,46.0,1107.0,38.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,30-39 years,117.0,1527.0,82.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,40-49 years,288.0,2397.0,229.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,50-64 years,1265.0,9743.0,1101.0,18.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,65-74 years,1504.0,11291.0,1425.0,16.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,75-84 years,1647.0,11363.0,1554.0,15.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,85 years and over,1050.0,8030.0,1045.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,All Ages,5106.0,41237.0,4476.0,66.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,Under 1 year,0.0,272.0,0.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,0-17 years,0.0,421.0,12.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,18-29 years,34.0,452.0,33.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,30-39 years,91.0,864.0,74.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,40-49 years,220.0,1653.0,194.0,0.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,50-64 years,854.0,6483.0,811.0,16.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,65-74 years,1144.0,8164.0,1049.0,17.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,75-84 years,1318.0,10495.0,1183.0,11.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Female,85 years and over,1441.0,12705.0,1120.0,18.0,35.20105,-91.831833
01/01/2020,04/02/2022,California,Male,All Ages,55274.0,394626.0,54370.0,464.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Male,Under 1 year,14.0,2037.0,35.0,0.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Male,0-17 years,50.0,3905.0,76.0,12.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Male,18-29 years,474.0,11431.0,414.0,0.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Male,30-39 years,1462.0,15468.0,1174.0,20.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Male,40-49 years,3382.0,20933.0,2675.0,30.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Male,50-64 years,13553.0,78605.0,11835.0,125.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Male,65-74 years,13281.0,83143.0,13127.0,102.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Male,75-84 years,12595.0,88501.0,13447.0,87.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Male,85 years and over,10477.0,92640.0,11622.0,80.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,All Ages,38394.0,334836.0,39024.0,429.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,Under 1 year,0.0,1650.0,14.0,0.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,0-17 years,35.0,2826.0,62.0,0.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,18-29 years,237.0,3698.0,208.0,14.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,30-39 years,652.0,6093.0,555.0,21.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,40-49 years,1563.0,10567.0,1424.0,29.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,50-64 years,6490.0,43633.0,6322.0,84.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,65-74 years,7844.0,56503.0,8046.0,77.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,75-84 years,9409.0,78598.0,10005.0,101.0,36.778261,-119.417932
01/01/2020,04/02/2022,California,Female,85 years and over,12164.0,132918.0,12402.0,95.0,36.778261,-119.417932
01/01/2020,04/02/2022,Colorado,Male,All Ages,7456.0,58131.0,6617.0,81.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Male,Under 1 year,0.0,381.0,0.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Male,0-17 years,10.0,800.0,12.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Male,18-29 years,55.0,2091.0,42.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Male,30-39 years,150.0,2779.0,147.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Male,40-49 years,375.0,3322.0,293.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Male,50-64 years,1552.0,11109.0,1295.0,24.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Male,65-74 years,1773.0,12524.0,1680.0,16.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Male,75-84 years,1949.0,13315.0,1799.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Male,85 years and over,1592.0,12191.0,1349.0,16.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,All Ages,5570.0,49547.0,4680.0,93.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,Under 1 year,0.0,341.0,0.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,0-17 years,0.0,551.0,14.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,18-29 years,30.0,707.0,26.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,30-39 years,66.0,1228.0,69.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,40-49 years,187.0,1828.0,176.0,0.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,50-64 years,764.0,6537.0,724.0,22.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,65-74 years,1139.0,8793.0,1041.0,19.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,75-84 years,1432.0,11739.0,1235.0,13.0,39.550051,-105.782067
01/01/2020,04/02/2022,Colorado,Female,85 years and over,1946.0,18164.0,1395.0,29.0,39.550051,-105.782067
01/01/2020,04/02/2022,Connecticut,Male,All Ages,5498.0,40820.0,3699.0,48.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Male,Under 1 year,0.0,200.0,0.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Male,0-17 years,0.0,333.0,0.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Male,18-29 years,17.0,825.0,12.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Male,30-39 years,73.0,1381.0,29.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Male,40-49 years,158.0,1727.0,95.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Male,50-64 years,918.0,7468.0,583.0,10.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Male,65-74 years,1177.0,7871.0,807.0,14.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Male,75-84 years,1462.0,9797.0,985.0,11.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Male,85 years and over,1690.0,11418.0,1181.0,11.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,All Ages,5297.0,39714.0,3225.0,53.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,Under 1 year,0.0,125.0,0.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,0-17 years,0.0,200.0,0.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,18-29 years,11.0,308.0,0.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,30-39 years,36.0,584.0,31.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,40-49 years,80.0,915.0,48.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,50-64 years,509.0,4376.0,382.0,10.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,65-74 years,781.0,5827.0,563.0,0.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,75-84 years,1308.0,9281.0,855.0,17.0,41.603221,-73.087749
01/01/2020,04/02/2022,Connecticut,Female,85 years and over,2570.0,18223.0,1337.0,15.0,41.603221,-73.087749
01/01/2020,04/02/2022,Delaware,Male,All Ages,1514.0,13115.0,1304.0,11.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Male,Under 1 year,0.0,64.0,0.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Male,0-17 years,0.0,138.0,0.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Male,18-29 years,0.0,299.0,0.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Male,30-39 years,26.0,474.0,23.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Male,40-49 years,43.0,554.0,34.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Male,50-64 years,270.0,2450.0,246.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Male,65-74 years,367.0,2962.0,336.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Male,75-84 years,472.0,3333.0,404.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Male,85 years and over,327.0,2905.0,253.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,All Ages,1365.0,11913.0,1172.0,16.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,Under 1 year,0.0,71.0,0.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,0-17 years,0.0,121.0,0.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,18-29 years,0.0,110.0,0.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,30-39 years,13.0,217.0,16.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,40-49 years,36.0,330.0,27.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,50-64 years,196.0,1575.0,193.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,65-74 years,282.0,2307.0,294.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,75-84 years,354.0,3048.0,316.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,Delaware,Female,85 years and over,479.0,4205.0,316.0,0.0,38.910832,-75.52767
01/01/2020,04/02/2022,District of Columbia,Male,All Ages,1078.0,8743.0,1287.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Male,Under 1 year,0.0,139.0,0.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Male,0-17 years,0.0,239.0,0.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Male,18-29 years,0.0,366.0,11.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Male,30-39 years,36.0,502.0,42.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Male,40-49 years,66.0,590.0,70.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Male,50-64 years,306.0,2291.0,352.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Male,65-74 years,296.0,2086.0,360.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Male,75-84 years,216.0,1547.0,266.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Male,85 years and over,144.0,1122.0,180.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,All Ages,831.0,7135.0,1053.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,Under 1 year,0.0,103.0,0.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,0-17 years,0.0,183.0,0.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,18-29 years,0.0,112.0,0.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,30-39 years,18.0,194.0,16.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,40-49 years,30.0,316.0,41.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,50-64 years,200.0,1480.0,226.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,65-74 years,210.0,1513.0,266.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,75-84 years,172.0,1431.0,224.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,District of Columbia,Female,85 years and over,196.0,1906.0,266.0,0.0,38.905985,-77.033418
01/01/2020,04/02/2022,Florida,Male,All Ages,39222.0,305051.0,41039.0,317.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Male,Under 1 year,0.0,1546.0,17.0,0.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Male,0-17 years,32.0,2820.0,59.0,0.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Male,18-29 years,311.0,6878.0,294.0,0.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Male,30-39 years,801.0,10091.0,752.0,10.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Male,40-49 years,1986.0,13886.0,1706.0,22.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Male,50-64 years,8067.0,56183.0,7710.0,75.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Male,65-74 years,9316.0,66192.0,9887.0,72.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Male,75-84 years,10671.0,78238.0,11633.0,74.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Male,85 years and over,8038.0,70763.0,8998.0,52.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,All Ages,29963.0,260708.0,30958.0,298.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,Under 1 year,0.0,1209.0,21.0,0.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,0-17 years,43.0,2010.0,57.0,0.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,18-29 years,176.0,2675.0,182.0,0.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,30-39 years,564.0,5060.0,532.0,14.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,40-49 years,1210.0,8174.0,1125.0,17.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,50-64 years,4980.0,34454.0,5111.0,51.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,65-74 years,6278.0,45842.0,6596.0,66.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,75-84 years,7803.0,65268.0,8358.0,68.0,27.664827,-81.515754
01/01/2020,04/02/2022,Florida,Female,85 years and over,8909.0,97225.0,8997.0,74.0,27.664827,-81.515754
01/01/2020,04/02/2022,Georgia,Male,All Ages,17279.0,124556.0,14477.0,138.0,32.157435,-82.907123
